UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO; POPULAÇÃO 
RO;11;00015;Alta Floresta D'Oeste; 21.558 
RO;11;00023;Ariquemes; 100.896 
RO;11;00031;Cabixi; 5.107 
RO;11;00049;Cacoal; 92.202 
RO;11;00056;Cerejeiras; 15.237 
RO;11;00064;Colorado do Oeste; 15.747 
RO;11;00072;Corumbiara; 7.503 
RO;11;00080;Costa Marques; 12.633 
RO;11;00098;Espigão D'Oeste; 29.722 
RO;11;00106;Guajará-Mirim; 39.396 
RO;11;00114;Jaru; 52.090 
RO;11;00122;Ji-Paraná; 136.825 
RO;11;00130;Machadinho D'Oeste; 30.626 
RO;11;00148;Nova Brasilândia D'Oeste; 17.355 
RO;11;00155;Ouro Preto do Oeste; 36.753 
RO;11;00189;Pimenta Bueno; 37.464 
RO;11;00205;Porto Velho;461.748
RO;11;00254;Presidente Médici; 19.316 
RO;11;00262;Rio Crespo; 3.476 
RO;11;00288;Rolim de Moura; 57.180 
RO;11;00296;Santa Luzia D'Oeste; 7.394 
RO;11;00304;Vilhena; 95.599 
RO;11;00320;São Miguel do Guaporé; 21.612 
RO;11;00338;Nova Mamoré; 25.452 
RO;11;00346;Alvorada D'Oeste; 13.092 
RO;11;00379;Alto Alegre dos Parecis; 13.023 
RO;11;00403;Alto Paraíso; 17.140 
RO;11;00452;Buritis; 28.178 
RO;11;00502;Novo Horizonte do Oeste; 7.653 
RO;11;00601;Cacaulândia; 4.157 
RO;11;00700;Campo Novo de Rondônia; 8.840 
RO;11;00809;Candeias do Jamari; 22.564 
RO;11;00908;Castanheiras; 3.269 
RO;11;00924;Chupinguaia; 9.351 
RO;11;00940;Cujubim; 14.338 
RO;11;01005;Governador Jorge Teixeira; 8.012 
RO;11;01104;Itapuã do Oeste; 9.465 
RO;11;01203;Ministro Andreazza; 6.440 
RO;11;01302;Mirante da Serra; 9.200 
RO;11;01401;Monte Negro; 11.966 
RO;11;01435;Nova União; 6.194 
RO;11;01450;Parecis; 3.953 
RO;11;01468;Pimenteiras do Oeste; 2.180 
RO;11;01476;Primavera de Rondônia; 3.071 
RO;11;01484;São Felipe D'Oeste; 5.259 
RO;11;01492;São Francisco do Guaporé; 16.302 
RO;11;01500;Seringueiras; 11.183 
RO;11;01559;Teixeirópolis; 4.284 
RO;11;01609;Theobroma; 9.253 
RO;11;01708;Urupá; 10.828 
RO;11;01757;Vale do Anari; 7.806 
RO;11;01807;Vale do Paraíso; 6.487 
AC;12;00013;Acrelândia; 12.707 
AC;12;00054;Assis Brasil; 8.157 
AC;12;00104;Brasiléia; 25.786 
AC;12;00138;Bujari; 11.962 
AC;12;00179;Capixaba; 9.737 
AC;12;00203;Cruzeiro do Sul; 94.345 
AC;12;00252;Epitaciolândia; 18.697 
AC;12;00302;Feijó; 35.035 
AC;12;00328;Jordão; 11.105 
AC;12;00336;Mâncio Lima; 19.172 
AC;12;00344;Manoel Urbano; 12.246 
AC;12;00351;Marechal Thaumaturgo; 16.825 
AC;12;00385;Plácido de Castro; 16.313 
AC;12;00393;Porto Walter; 10.706 
AC;12;00401;Rio Branco; 364.368 
AC;12;00427;Rodrigues Alves; 16.072 
AC;12;00435;Santa Rosa do Purus; 7.672 
AC;12;00450;Senador Guiomard; 21.658 
AC;12;00500;Sena Madureira; 39.746 
AC;12;00609;Tarauacá; 43.072 
AC;12;00708;Xapuri; 18.181 
AC;12;00807;Porto Acre; 16.218 
AM;13;00029;Alvarães;15.916
AM;13;00060;Amaturá; 10.814 
AM;13;00086;Anamã; 9.927 
AM;13;00102;Anori; 17.052 
AM;13;00144;Apuí; 21.403 
AM;13;00201;Atalaia do Norte; 15.440 
AM;13;00300;Autazes; 41.672 
AM;13;00409;Barcelos;18.399
AM;13;00508;Barreirinha; 30.990 
AM;13;00607;Benjamin Constant;37.436
AM;13;00631;Beruri; 20.807 
AM;13;00680;Boa Vista do Ramos; 24.018 
AM;13;00706;Boca do Acre; 35.964 
AM;13;00805;Borba;33.209
AM;13;00839;Caapiranga;13.851
AM;13;00904;Canutama; 17.362 
